Simulation time, Job arrival rate, Throughput, Total jobs lost
20.151259270870614,0.04962469027657923,0.0,0
20.314383112797238,0.04962469027657923,0.0,0
32.858279220383494,0.060867460118219106,0.04922620561241855,0
33.77154458020945,0.060867460118219106,0.04922620561241855,0
138.1929646908352,0.021708775166026643,0.05922145477385198,0
139.13530189977794,0.021708775166026643,0.05922145477385198,0
162.4493941768457,0.02462305273755296,0.021561745718286236,0
163.03375055578076,0.02462305273755296,0.021561745718286236,0
209.1124337051493,0.02391058203191328,0.02453479715926323,0
210.7521109485233,0.02391058203191328,0.02453479715926323,0
271.5372963288771,0.022096412099253563,0.023724554774311426,0
271.7876062459729,0.022096412099253563,0.023724554774311426,0
280.36057531689204,0.02496784718068112,0.02207606182958132,0
280.68806461988584,0.02496784718068112,0.02207606182958132,0
296.6039732950016,0.026971992017258715,0.02493871625599599,0
297.5827944519856,0.026971992017258715,0.02493871625599599,0
308.97966067546764,0.029128130894845602,0.02688327466892843,0
310.5973723861862,0.029128130894845602,0.02688327466892843,0
324.92438853981736,0.03077639091648107,0.028976420279594982,0
325.5073791287216,0.03077639091648107,0.028976420279594982,0
346.8406623039434,0.03171485121418803,0.030721269750525408,0
349.4424603190954,0.03171485121418803,0.030721269750525408,0
355.9923890275531,0.033708585828983055,0.031478716095220044,0
356.32607355115545,0.033708585828983055,0.031478716095220044,0
390.05384197882125,0.03332873209003249,0.033677019142628745,0
394.07258427734644,0.03332873209003249,0.033677019142628745,0
408.11878229612853,0.034303738537183236,0.03298884651881964,0
408.73238726328674,0.034303738537183236,0.03298884651881964,0
445.07314999414956,0.03370232511261839,0.03425224042982882,0
445.0856224439149,0.03370232511261839,0.03425224042982882,0
474.03114032358775,0.033753056790906025,0.03370138068634231,0
474.09491583501364,0.033753056790906025,0.03370138068634231,0
486.14341461510475,0.034969104772219206,0.033748516310957544,0
488.3191672431859,0.034969104772219206,0.033748516310957544,0
522.6515383109419,0.034439772354197554,0.03481329659037098,0
523.5049049449923,0.034439772354197554,0.03481329659037098,0
543.1719861193804,0.03497971266107252,0.03438363199651657,0
543.3538043577022,0.03497971266107252,0.03438363199651657,0
558.1136005072349,0.03583499843369386,0.03496800767312171,0
560.2228124009482,0.03583499843369386,0.03496800767312171,0
648.9952758025673,0.0323577085735035,0.035700081391341336,0
649.2989846423947,0.0323577085735035,0.035700081391341336,0
677.910456445693,0.032452663608917805,0.032342573293204634,0
678.6427904385786,0.032452663608917805,0.032342573293204634,0
709.0689053956065,0.032436903980675544,0.03241764343474763,0
709.4662195192163,0.032436903980675544,0.03241764343474763,0
786.7236813106849,0.030506263596916137,0.032418738718224524,0
788.3845082857949,0.030506263596916137,0.032418738718224524,0
797.79093403221,0.03133653057906353,0.030441998476332097,0
798.437263483777,0.03133653057906353,0.030441998476332097,0
808.7897582765814,0.032146796783631866,0.03131116387393906,0
808.7998853029555,0.032146796783631866,0.03131116387393906,0
870.5251986881749,0.03101575926887269,0.03214639427187984,0
870.8066635663579,0.03101575926887269,0.03214639427187984,0
898.2697058684507,0.031171038961989136,0.031005734257271822,0
898.5068583174756,0.031171038961989136,0.031005734257271822,0
939.8421209508404,0.030856246334927652,0.03116281165892511,0
940.2870779284946,0.030856246334927652,0.03116281165892511,0
951.3178660228218,0.031535200873942494,0.030841644728212828,0
952.8061832931118,0.031535200873942494,0.030841644728212828,0
959.4761578088119,0.032309296846724934,0.03148594176447646,0
959.9259028547722,0.032309296846724934,0.03148594176447646,0
1000.9105052961119,0.03197089033502854,0.03229415927605197,0
1001.7792226659567,0.03197089033502854,0.03229415927605197,0
1013.6134856128484,0.0325567886264335,0.031943165995039206,0
1014.2497024798897,0.0325567886264335,0.031943165995039206,0
1022.3578577221083,0.03325645686898187,0.03253636645819407,0
1024.738273240604,0.03325645686898187,0.03253636645819407,0
1065.8440011672378,0.032837826137474574,0.033179203790719494,0
1066.272514802525,0.032837826137474574,0.033179203790719494,0
1106.1123489414185,0.03254642264364288,0.03282462927076578,0
1106.589772912141,0.03254642264364288,0.03282462927076578,0
1126.944111929367,0.032832151664251324,0.03253238090684782,0
1127.5838204294569,0.032832151664251324,0.03253238090684782,0
1158.1893900026303,0.03280983259561176,0.03281352510530703,0
1158.191591943886,0.03280983259561176,0.03281352510530703,0
1223.0229597645416,0.03188819939039276,0.03280977021791494,0
1223.6104481170762,0.03188819939039276,0.03280977021791494,0
1302.6366601534705,0.030706950927734053,0.03187288900647606,0
1302.884894883139,0.030706950927734053,0.03187288900647606,0
1342.3398951993092,0.030543679843406845,0.03070110042498249,0
1342.5588902239347,0.030543679843406845,0.03070110042498249,0
1370.047489295364,0.030655871660040947,0.030538697630732105,0
1370.0931929945027,0.030655871660040947,0.030538697630732105,0
1383.3688185315675,0.031083539995967295,0.030654849038556253,0
1383.9237090920954,0.031083539995967295,0.030654849038556253,0
1394.954944240984,0.031542237390284354,0.031071076907996306,0
1395.6298234384064,0.031542237390284354,0.031071076907996306,0
1438.0930674365434,0.03129143795972415,0.031526984635221834,0
1438.2198671111075,0.03129143795972415,0.031526984635221834,0
1507.669176367168,0.030510672182633692,0.03128867917141878,0
1508.585630801685,0.030510672182633692,0.03128867917141878,0
1521.045621206992,0.030899796393157614,0.030492137178553737,0
1521.497009217637,0.030899796393157614,0.030492137178553737,0
1528.8449509111178,0.0313962511184632,0.030890629239006973,0
1529.8563825263677,0.0313962511184632,0.030890629239006973,0
1552.7341736614417,0.03155723679633779,0.0313754941628795,0
1553.0826624570707,0.03155723679633779,0.0313754941628795,0
