experiment,median,p90,p99
exp1,2135.534073039115,5520.697049583787,6475.28938857685
exp2,1757.007420279907,4713.108580940456,5513.756329799917
exp3,1503.1438941534036,3895.441433661121,4658.485280593261
exp4,1715.0762319334167,4877.283944243089,5703.595829799233
exp5,345.45217569882243,649.7619255490376,1045.7549101128857
exp6,218.8850628829225,869.3420942780526,1974.8627507434064
