experiment,modality,lost_mean,lost_std,drop_rate_mean,drop_rate_std,throughput_last_mean,throughput_last_std
exp2,t1,0.0,0.0,0.0,0.0,0.11784459110176577,0.002414169396993652
exp2,t2,0.0,0.0,0.0,0.0,0.11936244990054927,0.0027689806257706396
exp2,t3,26.8,4.299326752680678,0.0026822181551914757,0.00043139771215295583,0.11320199235669588,0.002165777313043413
exp2,t4,643.6,23.154856259995498,0.06441008888717284,0.0023177656163255694,0.053292800763457736,0.001392503479695505
exp2,overall,670.4,23.55061737932508,0.06709230704236431,0.0023575710886995223,0.40370183412246863,0.004486103531343375
