experiment,seed,modality,time_last,throughput_mean,drop_total_last
exp1,seed1,t1,9995.17091572632,0.2471825495068315,0
exp1,seed1,t2,10000.0,0.2029171030269044,551
exp1,seed1,t3,9998.001143475518,0.2143694788058469,343
exp1,seed1,t4,9994.0,0.07256655315977627,1765
exp1,seed10,t1,9999.347472128344,0.24663943731150684,0
exp1,seed10,t2,9997.716797560415,0.19771601289946794,556
exp1,seed10,t3,10000.0,0.21774676615080224,344
exp1,seed10,t4,9997.047734575212,0.07371091902458818,1770
exp1,seed11,t1,10000.0,0.2486713562503755,0
exp1,seed11,t2,9995.5900564633,0.20186756799532538,519
exp1,seed11,t3,9998.166441603771,0.22341378754123814,304
exp1,seed11,t4,9997.0,0.07395658456444253,1753
exp1,seed12,t1,9997.059464962118,0.24357045366302832,0
exp1,seed12,t2,10000.0,0.20638124626359605,519
exp1,seed12,t3,9995.95241500682,0.2247600508569027,296
exp1,seed12,t4,9993.0,0.07425147497314995,1737
exp1,seed13,t1,9999.071173318302,0.2552146818732952,0
exp1,seed13,t2,10000.0,0.20620938808374,520
exp1,seed13,t3,9991.113303863996,0.20904282390962856,306
exp1,seed13,t4,9994.0,0.07370429244914767,1777
exp1,seed14,t1,10000.0,0.25358132148724066,0
exp1,seed14,t2,9999.0,0.20525429393081004,513
exp1,seed14,t3,9999.629366316827,0.21987617398845308,308
exp1,seed14,t4,9990.0,0.07436719704993164,1716
exp1,seed15,t1,9998.133157428643,0.25185686937547913,0
exp1,seed15,t2,9999.0,0.19695459138870688,507
exp1,seed15,t3,9996.26472646465,0.22094805562848177,325
exp1,seed15,t4,9995.0,0.07471185580752335,1801
exp1,seed16,t1,9999.946868733476,0.24261830917839283,0
exp1,seed16,t2,10000.0,0.20211288045975473,525
exp1,seed16,t3,9999.500323477445,0.22486699955662162,312
exp1,seed16,t4,9990.0,0.07254389915574685,1748
exp1,seed17,t1,10000.0,0.24214176731900464,0
exp1,seed17,t2,9997.430442923747,0.2028258347839847,517
exp1,seed17,t3,9990.637928448545,0.2082021455550112,320
