Simulation time, Total waiting time, Total job waiting, Average queue size, Job arrival rate, Throughput, Job from queue, Job has waited for
2590.6134326288575,2580.847269136137,162439.49977448198,56.75,0.219639098922837,0.033196770663205595,2,1127.046777826641
2590.6134326288575,2580.847269136137,163566.54655230863,56.5,0.219639098922837,0.033196770663205595,3,1168.9449681645315
2590.6134326288575,2580.847269136137,164735.49152047315,56.25,0.219639098922837,0.033196770663205595,4,0.0
2609.9746539768616,2600.2084904841413,164735.49152047315,57.5,0.2199255073704975,0.033196770663205595,,
2609.9746539768616,2600.2084904841413,164735.49152047315,57.25,0.2199255073704975,0.033333657040476104,1,1321.9810268752112
2609.9746539768616,2600.2084904841413,166057.47254734836,57.0,0.2199255073704975,0.033333657040476104,2,1135.0983869562936
2609.9746539768616,2600.2084904841413,167192.57093430465,56.75,0.2199255073704975,0.033333657040476104,3,1176.91079796517
2609.9746539768616,2600.2084904841413,168369.4817322698,56.5,0.2199255073704975,0.033333657040476104,4,0.0
2629.0125289623256,2619.2463654696053,168369.4817322698,57.5,0.21985441059428396,0.033333657040476104,,
2629.0125289623256,2619.2463654696053,168369.4817322698,57.25,0.21985441059428396,0.033472643827503444,1,1319.2367244368036
2629.0125289623256,2619.2463654696053,169688.7184567066,57.0,0.21985441059428396,0.033472643827503444,2,1117.6288073978424
2629.0125289623256,2619.2463654696053,170806.34726410446,56.75,0.21985441059428396,0.033472643827503444,3,1178.6849308367764
2629.0125289623256,2619.2463654696053,171985.03219494125,56.5,0.21985441059428396,0.033472643827503444,4,0.0
2665.939192892965,2656.1730294002446,171985.03219494125,58.5,0.21980996474420614,0.033472643827503444,,
2665.939192892965,2656.1730294002446,171985.03219494125,58.25,0.21980996474420614,0.03338410727343745,1,1351.1177055941826
2665.939192892965,2656.1730294002446,173336.14990053544,58.0,0.21980996474420614,0.03338410727343745,2,1144.7165144329877
2665.939192892965,2656.1730294002446,174480.86641496842,57.75,0.21980996474420614,0.03338410727343745,3,1173.5819704390358
2665.939192892965,2656.1730294002446,175654.44838540745,57.5,0.21980996474420614,0.03338410727343745,4,0.0
2674.9176785160003,2665.15151502328,175654.44838540745,58.0,0.2198198489331502,0.03338410727343745,,
2674.9176785160003,2665.15151502328,175654.44838540745,57.75,0.2198198489331502,0.033645895244869925,1,1354.8341915582762
