Simulation time, Job produced counter, Turnaround time, Arrival time, Job arrival rate, Throughput, Queue size, Average turnaround time
34.935439932666775,1,29.935439932666775,5.0,0.25,0.028624228059739954,7,29.935439932666775
62.885417170058595,2,52.885417170058595,10.0,0.2413793103448276,0.031803875842812294,12,41.410428551362685
75.78794382040425,3,64.78794382040425,11.0,0.2676056338028169,0.03958413236687278,16,49.20293364104321
135.26902353361663,4,119.26902353361663,16.0,0.24812030075187969,0.02957070211278588,29,66.71945611418656
162.00648104946697,5,145.00648104946697,17.0,0.24528301886792453,0.030862962812415528,34,82.37686110124264
203.33713305481498,6,181.33713305481498,22.0,0.24378109452736318,0.029507645307375013,43,98.87023976017137
231.53418218261174,7,204.53418218261174,27.0,0.2422907488986784,0.030233116916097848,48,113.96508867766285
259.85285628081857,8,227.85285628081857,32.0,0.24324324324324326,0.030786654087629255,55,128.20105962805732
274.6624749372074,9,237.66247493720738,37.0,0.24444444444444444,0.03276749036087859,57,140.36343910685179
294.22828502636946,10,252.22828502636946,42.0,0.2465753424657534,0.03398721506025084,62,151.54992369880355
344.7156024246048,11,297.7156024246048,47.0,0.24198250728862974,0.031910362985109984,72,164.8377126738764
373.9644497450962,12,325.9644497450962,48.0,0.24324324324324326,0.03208861165327215,78,178.26494076314472
395.8934638486266,13,342.8934638486266,53.0,0.24296675191815856,0.03283711702037765,82,190.92867330818177
425.38679633179595,14,367.38679633179595,58.0,0.24170616113744076,0.032911223669199616,88,203.53282495272566
475.51399727120895,15,412.51399727120895,63.0,0.24050632911392406,0.03154481274174725,99,217.46490310729124
486.7754942961358,16,422.7754942961358,64.0,0.24123711340206186,0.032869362134048195,101,230.29681505659403
538.9042721245163,17,473.9042721245163,65.0,0.241635687732342,0.03154549124834563,113,244.62666547235415
552.292467431094,18,486.292467431094,66.0,0.24225865209471767,0.03259142766100779,115,258.0525433589508
592.3153724973356,19,521.3153724973356,71.0,0.24067796610169492,0.032077506143208305,123,271.90848173465525
615.0521910064975,20,539.0521910064975,76.0,0.24058919803600654,0.032517565651251724,127,285.26566719824734
640.5624428154576,21,559.5624428154576,81.0,0.2413793103448276,0.03278368913996723,133,298.3274184181145
667.2156847324433,22,581.2156847324433,86.0,0.24324324324324326,0.03297284596782539,140,311.18597597785674
709.9261310552122,23,618.9261310552122,91.0,0.24400564174894218,0.03239773688258737,150,324.56598272035046
718.0650290163367,24,622.0650290163367,96.0,0.24369747899159663,0.03342315672004962,150,336.96177631601654
738.59167899797,25,637.59167899797,101.0,0.24661246612466126,0.03384820153121264,157,348.9869724232947
776.722612723458,26,670.722612723458,106.0,0.24645161290322581,0.033473983599930236,165,361.361420127147
848.5586150218307,27,737.5586150218307,111.0,0.24439197166469895,0.03181866228452041,180,375.2946495676909
907.0386808879839,28,791.0386808879839,116.0,0.2425249169435216,0.030869686806066766,191,390.14265068627276
936.1327272730399,29,815.1327272730399,121.0,0.24358974358974358,0.030978513147892146,199,404.79748091340264
948.3217803407707,30,826.3217803407707,122.0,0.24472573839662448,0.0316348317859153,202,418.84829089431497
1013.5520568948094,31,886.5520568948094,127.0,0.2450592885375494,0.03058550351619217,217,433.9355091523954
1027.6550886531024,32,899.6550886531024,128.0,0.24440116845180138,0.03113885227965041,219,448.4892460117925
1047.6175418643513,33,914.6175418643513,133.0,0.24448705656759348,0.03150004527537106,222,462.61434588611246
1076.1543660906677,34,938.1543660906677,138.0,0.24465116279069768,0.03159398044679349,229,476.6008170685994
1119.059175830876,35,976.059175830876,143.0,0.24440465532676814,0.03127627274403366,238,490.8710558903787
1140.8558319492763,36,992.8558319492763,148.0,0.24495171202809482,0.03155525789660038,243,504.81507744757033
1167.5986073933393,37,1018.5986073933393,149.0,0.2467755803955288,0.03168897236234497,250,518.7011187974559
1181.7375582209015,38,1027.7375582209015,154.0,0.24681933842239187,0.03215603983782047,253,532.0968145717571
1221.6968897246747,39,1062.6968897246747,159.0,0.2459016393442623,0.03192281189222734,261,545.7019447038832
1260.0759711065175,40,1096.0759711065175,164.0,0.24522292993630573,0.03174411774940409,268,559.4612953639491
1274.8881392620315,41,1105.8881392620315,169.0,0.24528301886792453,0.032159684240009354,271,572.7887793614633
1299.6198243338545,42,1125.6198243338545,174.0,0.24499229583975346,0.03231714322419475,276,585.9514232893774
1331.9350230983703,43,1152.9350230983703,179.0,0.24567993989481593,0.0322838571358929,284,599.1370884012144
1369.0720782538338,44,1185.0720782538338,184.0,0.24561403508771928,0.03213855625199753,292,612.4537927160467
1419.1657420578229,45,1230.1657420578229,189.0,0.24522968197879857,0.03170876992475098,302,626.1807249236417
1442.008421459805,46,1252.008421459805,190.0,0.24549237170596394,0.031899952396555555,308,639.7856748483409
1455.5488206265084,47,1260.5488206265084,195.0,0.24569855471438404,0.03229022574438273,310,652.9934013542594
1472.0160216493164,48,1272.0160216493164,200.0,0.2467709041468389,0.03260834073410324,315,665.8897059437397
1484.827012956078,49,1283.827012956078,201.0,0.24645509790681971,0.033000477208754445,316,678.5006713929712
1499.264339007463,50,1293.264339007463,206.0,0.247498332221481,0.03334968937705862,321,690.7959447452611
1531.8009962705175,51,1320.8009962705175,211.0,0.24755062050947094,0.033294142074701556,328,703.1489849712465
1542.5727987622233,52,1326.5727987622233,216.0,0.248862897985705,0.033709916343478474,331,715.1379044672268
1568.362037665556,53,1351.362037665556,217.0,0.24904214559386972,0.03379321784585425,337,727.1421333954971
1587.6881105030775,54,1365.6881105030775,222.0,0.2509457755359395,0.03401171781962231,344,738.9670588974893
1619.9785212584577,55,1392.9785212584577,227.0,0.25092707045735474,0.03395106742358165,351,750.8581763949616
1671.634241865738,56,1439.634241865738,232.0,0.2502994011976048,0.03350015128757921,362,763.157748992654
1704.4829732811227,57,1467.4829732811227,237.0,0.2507339988256019,0.033441225810707416,370,775.5143318749077
1718.3301205288622,58,1476.3301205288622,242.0,0.25029103608847497,0.03375370035540606,372,787.597362713769
1747.1323721107003,59,1500.1323721107003,247.0,0.25128792215226103,0.03376962212011586,380,799.6742272798188
1758.3487766875282,60,1510.3487766875282,248.0,0.250996015936255,0.03412292304887954,381,811.5188031032806
1807.3735884090434,61,1554.3735884090434,253.0,0.25013865779256794,0.03375063151923991,390,823.696750403375
1896.8521599635694,62,1638.8521599635694,258.0,0.2489451476793249,0.032685731291357344,410,836.8444182995072
1908.5377713360801,63,1649.5377713360801,259.0,0.24908232826428947,0.033009564152296854,412,849.7443127921512
1952.9206614607026,64,1692.9206614607026,260.0,0.24845995893223818,0.03277142859051462,420,862.9189432400973
2008.0257956190353,65,1743.0257956190353,265.0,0.24788029925187033,0.032370102088236256,432,876.4590486613117
2023.2042956613611,66,1753.2042956613611,270.0,0.2486406327236777,0.032621520299029115,437,889.7430675552517
2052.891897772745,67,1777.8918977727449,275.0,0.24841386041971694,0.03263688656606355,442,902.9990202450651
2081.873851572353,68,1801.873851572353,280.0,0.24843825084094184,0.03266288202267511,449,916.2177677645841
2094.6924261862537,69,1813.6924261862537,281.0,0.24820659971305595,0.03294039694678532,450,929.2246468721445
2125.47605065472,70,1843.47605065472,282.0,0.24894117647058825,0.03293379851466102,459,942.2853812118955
2136.0885093007073,71,1849.0885093007073,287.0,0.24906367041198502,0.03323832308018141,461,955.0572562553999
2153.877047877846,72,1861.877047877846,292.0,0.24988366682177757,0.03342809194746727,465,967.6519755834894
2175.826716498102,73,1878.826716498102,297.0,0.2496551724137931,0.0335504658741806,470,980.1338213494431
2193.6725304077745,74,1891.6725304077745,302.0,0.25,0.03373338498533525,474,992.4519120123934
2235.0851640122373,75,1928.0851640122373,307.0,0.2505602868668758,0.03355576834726346,484,1004.9270220390581
2253.037141096393,76,1941.037141096393,312.0,0.2507767421216156,0.033732244628251536,489,1017.2442604477073
2266.1412024597626,77,1949.1412024597626,317.0,0.25055236411842685,0.03397846520614913,490,1029.3468181361757
2300.7053467833475,78,1978.7053467833475,322.0,0.2501087429317094,0.03390264646842023,497,1041.51808132396
2336.637275064194,79,2009.637275064194,327.0,0.25,0.03380926977544242,505,1053.7727546624437
2354.2076796025663,80,2022.2076796025663,332.0,0.25,0.03398170887519383,508,1065.8781912241952
2375.2974007567027,81,2042.2974007567027,333.0,0.2502106149957877,0.034100992984792425,513,1077.9327493665721
2386.7241608099853,82,2048.7241608099853,338.0,0.25,0.03435671425564803,514,1089.771669018321
2415.371155931556,83,2072.371155931556,343.0,0.2504145936981758,0.03436324881009383,521,1101.6102170534202
2425.2697370748137,84,2077.2697370748137,348.0,0.250206440957886,0.03463532270901742,522,1113.225211339389
2451.952220807521,85,2098.952220807521,353.0,0.25,0.03466625461894452,527,1124.821999686073
2471.264295391912,86,2113.264295391912,358.0,0.2498987444309437,0.03480000101986722,531,1136.31551475242
2488.2173768660036,87,2129.2173768660036,359.0,0.2505026135906715,0.03496479078109306,536,1147.7281798341853
2500.259855068408,88,2140.259855068408,360.0,0.25090036014405764,0.03519634162089616,539,1159.0069488709378
2511.2728173209703,89,2146.2728173209703,365.0,0.2512943050577459,0.03544019565940484,542,1170.0998237973427
2522.800372011271,90,2152.800372011271,370.0,0.25109083696945655,0.03567464195680636,543,1181.0187187774975
2551.854007189126,91,2176.854007189126,375.0,0.25176470588235295,0.03566034723915759,551,1191.961963705098
2568.5819545186464,92,2188.5819545186464,380.0,0.25204518893650174,0.03581742830442054,555,1202.7947896922017
2584.9173238911267,93,2203.9173238911267,381.0,0.25203252032520324,0.03597793985147861,558,1213.5595481244484
2605.615142411688,94,2219.615142411688,386.0,0.2519201228878648,0.03607593403567501,562,1224.2622672126104
2666.5335334890665,95,2275.5335334890665,391.0,0.251971460758543,0.03562677866484424,576,1235.3282805418362
2692.2516062138934,96,2296.2516062138934,396.0,0.2517664559315731,0.035657885681422086,581,1246.3795651842536
2716.7731968848047,97,2315.7731968848047,401.0,0.252212389380531,0.035704121386071284,587,1257.4042417997232
2741.726313186597,98,2335.726313186597,406.0,0.2522818546914932,0.03574390322209024,593,1268.4075282424462
2757.9903628696893,99,2346.9903628696893,411.0,0.25199709513435004,0.03589570193312441,595,1279.3023043497922
2795.6916494758357,100,2383.6916494758357,412.0,0.251520572450805,0.03576932385184504,603,1290.3461978010525
2817.7129971702625,101,2400.7129971702625,417.0,0.25168619098331557,0.03584467264814799,608,1301.3399284878765
2856.8219230304917,102,2434.8219230304917,422.0,0.25183887915936953,0.035704010522223696,617,1312.4524970618236
2921.685413067508,103,2494.685413067508,427.0,0.2509414584046559,0.035253624342758805,630,1323.930486537607
2989.449845399015,104,2557.449845399015,432.0,0.2500836960160696,0.03478900981063914,643,1335.7912496035822
3019.8752300201513,105,2582.8752300201513,437.0,0.24983432736911862,0.03476964841335493,649,1347.6682398932637
